titolo;descrizione;indirizzo;max_persone;metratura;proprietario;servizi;foto_url
Trilocale luminoso ad Anconetta;Appartamento in ottime condizioni con soggiorno spazioso e cucina separata. Situato in una zona tranquilla, perfetto per famiglie;252;8;169;volontario1@example.com;WIFI;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Attico con vista a Sant'Angelo di Cetraro;Attico al settimo piano con ampie vetrate e vista panoramica. Dispone di due camere da letto e terrazzo privato;441;8;166;volontario2@example.com;RISCALDAMENTO;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Bilocale accogliente a Lambrugo;Appartamento ristrutturato con soggiorno open space e balcone. Situato in una zona residenziale ben servita.;253;7;184;volontario3@example.com;ARIACONDIZIONATA;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Casa indipendente a Valdastico;Villetta con giardino privato, ampio soggiorno con camino e cucina abitabile. Perfetta per chi cerca tranquillità.;254;9;65;volontario1@example.com;WIFI;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Rustico immerso nel verde a Sover;Caratteristica casa di montagna con travi a vista e camino. Ideale per chi ama la natura e le escursioni.;255;7;32;volontario2@example.com;RISCALDAMENTO;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Appartamento con terrazzo a Cesara;Moderno trilocale con ampio terrazzo e vista aperta. Ottima esposizione solare e rifiniture di pregio.;256;8;136;volontario3@example.com;ARIACONDIZIONATA;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Quadrilocale spazioso a Corinaldo;Ampio appartamento con tre camere, due bagni e cucina abitabile. Vicino ai principali servizi e ben collegato.;257;5;89;volontario1@example.com;WIFI;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Attico panoramico a Fraciscio;Ultimo piano con vista sulle montagne, travi in legno e ampio soggiorno. Perfetto per le vacanze o come seconda casa.;258;8;48;volontario2@example.com;RISCALDAMENTO;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
Trilocale in centro a Pontebba;Luminoso appartamento con due camere e soggiorno open space. Posizione comoda vicino a negozi e trasporti;259;1;59;volontario3@example.com;ARIACONDIZIONATA;"""6772f05d67ee1d482dd9ef22"", ""6772f05d67ee1d482dd9ef23"""
Villetta in campagna a Settimello;Casa indipendente con ampio giardino e portico. Zona tranquilla, perfetta per chi cerca relax e privacy;260;6;158;volontario1@example.com;WIFI;"""6772f22f67ee1d482dd9ef24"", ""6772f22f67ee1d482dd9ef25"""
Appartamento con vista a Pieve Fosciana;Trilocale con terrazzo panoramico, ottima esposizione e rifiniture moderne. Vicino al centro e ai servizi principali.;261;9;175;volontario2@example.com;RISCALDAMENTO;"""6772f2ac67ee1d482dd9ef26"", ""6772f2ac67ee1d482dd9ef27"""
Monolocale a Trieste;Piccolo ma funzionale, con angolo cottura e balcone. Perfetto per single o investimento;262;1;197;volontario3@example.com;ARIACONDIZIONATA;"""6772f5d967ee1d482dd9ef28"", ""6772f5d967ee1d482dd9ef29"""
