Titoloo;Disponibilita;indirizzo;Numero_candidature;Lista_candidati;Tipologia;Posizione_Lavorativa;Nome_Azienda;Orario_lavoro;Tipo_contratto;Retribuzione;Nome_sede;Info_Utili;proprietario_email
Titolooooo;True;9;28;[];True;Cameriere/a;IdroPower;08:00-19:00;FULL_TIME;5382.97;Divisione Tecnica Bologna;Richiesta capacità di lavorare sotto pressione, buona conoscenza della cucina italiana e capacità di interagire con i clienti in modo professionale. Preferibile esperienza pregressa nel settore della ristorazione.;volontario3@example.com
Cuoco/a cercasi per cucina tradizionale - Formazione inclusa;True;10;13;[];True;Cuoco/a;GreenGarden;07:00-18:00;COOPERATIVA;4787.01;Laboratorio Firenze;Gradita passione per la cucina tradizionale, propensione all'apprendimento e capacità di lavorare in team. Formazione inclusa per i meno esperti.;volontario2@example.com
Lavapiatti con possibilità di crescita - Turni flessibili;True;11;96;[];True;Lavapiatti;Carpenteria Italiana;09:00-17:00;ALTRO;4046.47;Laboratorio Firenze;Non è richiesta esperienza pregressa. È fondamentale l’affidabilità, la puntualità e la disponibilità a lavorare su turni, anche serali.;volontario1@example.com
Aiuto cuoco per trattoria locale - Esperienza non necessaria;True;12;63;[];True;Aiuto cuoco;IdroPower;07:00-19:00;COLLABORAZIONE;4923.52;Divisione Tecnica Bologna;Ruolo ideale per chi vuole avviare una carriera in cucina. Richiesta flessibilità oraria, attitudine all'apprendimento e capacità di lavorare sotto supervisione.;volontario3@example.com
Barista in caffetteria accogliente - Full time o part time;True;13;69;[];True;Barista;IdroPower;10:00-19:00;APPRENDISTATO;2215.01;Laboratorio Firenze;Ottime doti relazionali e capacità di preparare caffè e bevande calde. Preferibile esperienza minima, ma non indispensabile.;volontario2@example.com
Pizzaiolo/a per pizzeria artigianale - Contratto stabile;True;14;28;[];True;Pizzaiolo/a;Verniciature Rossi;10:00-18:00;ALTRO;2030.22;Officina Torino;Necessaria esperienza nella preparazione della pizza artigianale e nell’uso del forno a legna. Offerto contratto a tempo indeterminato.;volontario1@example.com
Addetto/a alla sala - Opportunità di lavoro in team;True;15;5;[];True;Addetto/a alla sala;Verniciature Rossi;08:00-19:01;COOPERATIVA;4136.37;Hub Tecnologico Genova;Capacità di lavorare in team e gestire clienti con cortesia ed efficienza. Preferibile esperienza pregressa nel settore.;volontario3@example.com
Chef de partie in ristorante di qualità - Retribuzione competitiva;True;16;47;[];True;Chef de partie;Carpenteria Italiana;07:00-18:01;APPRENDISTATO;5259.6;Filiale Centro;Richiesta esperienza di almeno 2 anni in ristoranti di qualità. Capacità di gestione autonoma della propria partita e attenzione ai dettagli.;volontario2@example.com
Banconista in gelateria artigianale - Ambiente dinamico;True;17;68;[];True;Banconista;LiftTech;09:00-17:01;FULL_TIME;1988.81;Headquarters Milano;Buone doti comunicative, velocità e precisione nel servizio al banco. Non è necessaria esperienza pregressa.;volontario1@example.com
Addetto/a catering per eventi - Lavoro part-time;True;18;7;[];True;Addetto/a catering;LiftTech;07:00-19:01;PROGETTO;2816.36;Divisione Tecnica Bologna;Capacità di lavorare in un ambiente dinamico, flessibilità oraria e disponibilità a lavorare nei weekend. Ideale per chi cerca un lavoro flessibile.;volontario3@example.com
Muratore con esperienza - Contratto immediato;True;19;49;[];True;Muratore;LiftTech;10:00-19:01;ALTRO;3547.18;Sede Operativa Sud;Richiesta esperienza pregressa nella muratura, capacità di leggere progetti e gestire lavori di precisione. Livello di istruzione richiesto: scuola secondaria.;volontario2@example.com
Piastrellista cercasi - Formazione sul campo garantita;True;20;68;[];True;Piastrellista;GreenGarden;10:00-18:01;FULL_TIME;5899.45;Officina Torino;Non è necessaria esperienza pregressa. Capacità manuali e attenzione ai dettagli sono essenziali. Formazione garantita sul campo. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Carpentiere edile - Opportunità di crescita professionale;True;21;11;[];True;Carpentiere edile;ArredoMobili;08:00-19:02;PROGETTO;5284.09;Centro Manutenzioni Napoli;Esperienza nella costruzione di strutture in legno o metallo. Capacità di utilizzo di strumenti professionali. Livello di istruzione richiesto: diploma tecnico.;volontario3@example.com
Imbianchino per progetti residenziali - Materiali forniti;True;22;5;[];True;Imbianchino;IdroPower;07:00-18:02;COOPERATIVA;1850.27;Centro Manutenzioni Napoli;Richiesta precisione e abilità nel gestire lavori di verniciatura. Materiali e attrezzature forniti. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Elettricista industriale - Inserimento diretto in azienda;True;23;89;[];True;Elettricista industriale;GreenGarden;09:00-17:02;PROGETTO;5465.44;Headquarters Milano;Necessaria esperienza nel settore industriale, capacità di lettura di schemi elettrici. Inserimento diretto con possibilità di crescita. Livello di istruzione richiesto: diploma tecnico.;volontario1@example.com
Idraulico per impianti civili e industriali - Stipendio competitivo;True;24;20;[];True;Idraulico;EcoManutenzioni;07:00-19:02;ALTRO;5234.4;Hub Tecnologico Genova;Esperienza nella manutenzione e installazione di impianti idraulici civili e industriali. Offerto stipendio competitivo. Livello di istruzione richiesto: diploma professionale.;volontario3@example.com
Operaio/a edile - Contratto regolare e sicurezza sul lavoro;True;25;72;[];True;Operaio/a edile;ElettroService;10:00-19:02;APPRENDISTATO;3631.39;Filiale Centro;Richiesta affidabilità e capacità di lavorare in team. Contratto regolare con formazione sulla sicurezza inclusa. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Tecnico del legno per lavori artigianali - Opportunità locale;True;26;39;[];True;Tecnico del legno;Carpenteria Italiana;10:00-18:02;FULL_TIME;2864.58;Stabilimento Nord;Esperienza nella lavorazione del legno e utilizzo di strumenti artigianali. Opportunità locale per appassionati del settore. Livello di istruzione richiesto: diploma tecnico.;volontario1@example.com
Cameriere/a per ristorante elegante - Inizio immediato!;True;27;65;[];True;Cameriere/a edilizio;AutoFix;08:00-19:03;COOPERATIVA;5888.66;Officina Torino;Stiamo cercando un/a Cameriere/a esperto/a, con esperienza nel servizio ai tavoli e nella gestione dell’esperienza del cliente.;volontario3@example.com
Addetto/a ai ponteggi - Offerta con formazione inclusa;True;28;99;[];True;Addetto/a ai ponteggi;LiftTech;07:00-18:03;INTERNSHIP;2359.12;Laboratorio Firenze;Capacità di lavorare ad altezze elevate. Formazione sulla sicurezza e utilizzo di ponteggi inclusa. Livello di istruzione richiesto: scuola dell’obbligo.;volontario2@example.com
Addetto/a alla pulizia industriale;True;29;95;[];True;Addetto/a alla pulizia ;AutoFix;09:00-17:03;APPRENDISTATO;2626.2;Sede Operativa Sud;Cerchiamo una persona affidabile per pulizia di grandi superfici (come magazzini);volontario1@example.com
Autista patente B cercasi - Consegne a breve distanza;True;30;14;[];True;Autista;Carpenteria Italiana;07:00-19:03;PROGETTO;4940.55;Stabilimento Nord;Patente B in corso di validità, conoscenza della zona e puntualità. Preferibile esperienza pregressa nelle consegne. Livello di istruzione richiesto: scuola dell’obbligo.;volontario3@example.com
Addetto/a alla logistica - Possibilità di contratto fisso;True;31;71;[];True;Addetto/a alla logistica;TecnoMetal;10:00-19:03;PART_TIME;3687.47;Laboratorio Firenze;Capacità organizzative, gestione ordini e conoscenza di software gestionali. Possibilità di stabilizzazione contrattuale. Livello di istruzione richiesto: diploma.;volontario2@example.com
Corriere espresso - Offerta di lavoro immediata;True;32;59;[];True;Corriere;AutoFix;10:00-18:03;APPRENDISTATO;1927.6;Sede Operativa Sud;Richiesta patente B, velocità e precisione nelle consegne. Lavoro immediato con retribuzione regolare. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
Interpretariato in Tempo Reale - Contratto Immediato!;True;33;57;[];True;Interprete/Traduttore;ElettroService;08:00-19:04;FULL_TIME;4289.13;Officina Torino;Cerchiamo un/a Interprete/Traduttore per interpretariato in tempo reale. Se hai esperienza con l'interpretazione tra haitiano e ebraico e sei appassionato di comunicazione, questa è l'opportunità che fa per te!;volontario3@example.com
Coordinatore logistica - Ottime possibilità di crescita;True;34;61;[];True;Coordinatore logistica;EcoManutenzioni;07:00-18:04;COLLABORAZIONE;5116.26;Laboratorio Firenze;Esperienza nella gestione logistica, capacità di leadership e conoscenza di sistemi informatici avanzati. Ottime prospettive di crescita. Livello di istruzione richiesto: laurea triennale.;volontario2@example.com
Autista patente C + CQC - Contratto stabile;True;35;9;[];True;Autista;TecnoMetal;09:00-17:04;PART_TIME;2541.86;Officina Torino;Patente C e certificazione CQC valide. Capacità di gestione delle tratte e puntualità. Offerto contratto stabile. Livello di istruzione richiesto: scuola dell’obbligo.;volontario1@example.com
